#"Step","Temperature (K)"
701000,295.2471171439417
702000,297.4130089162315
703000,296.19259919798594
704000,297.32653083573337
705000,296.20775342245247
706000,296.2856246359089
707000,297.81958456622465
708000,296.3772647925454
709000,296.2817076260999
710000,296.00196670585086
711000,296.0526107309448
712000,296.69859204587584
713000,295.6117944970663
714000,296.66218998032156
715000,295.5881044567785
716000,295.9261381436057
717000,295.6712488602542
718000,297.9693956940227
719000,297.40348383950436
720000,295.0519777041345
721000,295.8668233463615
722000,295.0525917784867
723000,296.0757270286867
724000,296.04556349320694
725000,297.0991661656425
726000,296.42920987262397
727000,296.73627555183634
728000,297.63233520008487
729000,299.407767098165
730000,294.43317457344995
731000,296.06393364132066
732000,296.3839706134793
733000,296.3225405254943
734000,297.173015260264
735000,296.60827506411965
736000,297.8268249011787
737000,296.3016194069033
738000,294.98663202266323
739000,297.7139024355815
740000,295.89762135218143
741000,297.29829405224797
742000,296.5251720432542
743000,293.7853213397347
744000,294.01628073536483
745000,296.45335978447326
746000,296.6295760422133
747000,296.22360671804194
748000,296.86632025708906
749000,298.7095871287495
750000,297.84586999697495
751000,296.66296701672013
752000,295.8614784044884
753000,296.90070877136515
754000,296.5304575306861
755000,296.8487908874542
756000,294.5410482221038
757000,295.9568303969133
758000,295.5827476268922
759000,295.3960239957931
760000,296.339922478449
761000,295.9474090935046
762000,296.39115019182293
763000,294.92757944757795
764000,295.0667511267358
765000,296.9299167053387
766000,297.081898393309
767000,298.1501984518185
768000,297.86531877697604
769000,296.92197259028455
770000,295.3947741033562
771000,297.2555730810636
772000,297.4972713049067
773000,297.0901050463916
774000,296.55831117451555
775000,296.3799525951309
776000,295.28751804669747
777000,296.38760235674107
778000,294.7956099283505
779000,295.40065531850195
780000,296.54492928703445
781000,294.97606072943665
782000,298.5473962207019
783000,294.8823593189755
784000,295.36459755593467
785000,294.3478395970179
786000,297.99352728001884
787000,297.7393509205966
788000,295.0490249252345
789000,297.22906373705086
790000,295.48833109871106
791000,296.65530999294003
792000,294.08889953009043
793000,297.43107888542994
794000,296.4210568365741
795000,299.91642427266487
796000,294.6390991002624
797000,295.7761965752857
798000,298.6010582983194
799000,296.5529251495667
800000,294.45612477774915
801000,297.0866711751899
802000,293.3479339918579
803000,295.59570915508544
804000,297.4603072302012
805000,292.94704450867795
806000,295.9596852539148
807000,294.4632108059886
808000,297.6984686141789
809000,296.4721648520284
810000,296.9231545844891
811000,296.02092626354084
812000,298.04729856962433
813000,297.04587042951346
814000,294.4981943014348
815000,295.63096678336075
816000,296.731082481062
817000,296.6255233959203
818000,297.2438332235515
819000,296.61095237310946
820000,297.6348977076639
821000,294.9408220473076
822000,295.1652514765011
823000,296.43168248441066
824000,296.27714926865656
825000,296.84451227530104
826000,299.0617290303952
827000,296.3949724274551
828000,295.2800353112652
829000,295.5398524868866
830000,297.02582540065026
831000,297.11792390339633
832000,296.32315403960195
833000,296.14756583089513
834000,296.33921282021373
835000,297.3706921576614
836000,297.4045625125449
837000,295.77820617526083
838000,296.9699428077723
839000,297.67453976021613
840000,296.2309200994217
841000,297.17244339050796
842000,295.6454075086052
843000,297.47971373606407
844000,295.78139153784446
845000,296.42709732642913
846000,298.8112332137866
847000,294.98871849256653
848000,296.22816242020485
849000,298.2414216588082
850000,298.5862548859629
851000,297.42921314884654
852000,297.6267042603446
853000,294.07753690598685
854000,295.44209127859733
855000,298.672112832634
856000,295.3325184217513
857000,297.4482083825654
858000,296.6692707955188
859000,296.8183024333123
860000,298.1089027021353
861000,296.3745861042362
862000,296.043733709212
863000,298.0993168730989
864000,298.679202195391
865000,295.89985626135854
866000,297.0196024234942
867000,293.19320655803045
868000,296.983831474601
869000,296.1207679853669
870000,296.5881563986555
871000,296.5176935423404
872000,297.8631952202086
873000,297.718227216365
874000,295.7283548242549
875000,296.78573016735646
876000,297.08267509076757
877000,295.9905995714633
878000,294.1694945704723
879000,297.78125200048765
880000,299.0129597668575
881000,297.949202857233
882000,297.0585236393522
883000,294.87456793820434
884000,297.07434068766696
885000,296.41357116973813
886000,298.0401161516111
887000,295.3808731430545
888000,296.2241988654162
889000,294.94971429218344
890000,297.92298660894227
891000,298.81694577670663
892000,295.30550927221776
893000,297.7264414369534
894000,296.84410897216077
895000,296.57251660246766
896000,294.7229775904609
897000,294.4005755157788
898000,296.314538232265
899000,296.75110088181447
900000,295.20030254898387
901000,296.2793798816327
902000,298.1336591376423
903000,294.16029807032567
904000,295.23299735093406
905000,297.72056318410387
906000,295.24024515040065
907000,295.7543386783928
908000,293.7641244506872
909000,295.2756060308159
910000,297.28249021758575
911000,297.23355306740035
912000,298.13412177242253
913000,297.22617787283735
914000,296.91253413919134
915000,295.658366550116
916000,296.456369092764
917000,297.32805647477335
918000,293.8125500753824
919000,294.704998693499
920000,296.92747301072177
921000,296.325983302514
922000,295.1777001400182
923000,294.0410448913679
924000,296.60486269612994
925000,298.28819182288527
926000,296.7324473369515
927000,294.88902327102306
928000,295.5487398968151
929000,296.3007407337445
930000,295.4843993146327
931000,294.7582363193418
932000,295.2764042636152
933000,295.40385743760453
934000,294.1143640626012
935000,297.20842459307596
936000,297.00382446712473
937000,295.04754635567434
938000,296.3289695314656
939000,293.92227239197814
940000,297.4329521135689
941000,295.6229273006608
942000,297.1914343342714
943000,297.402796126504
944000,296.32539000346463
945000,297.28475736882115
946000,296.2094066487016
947000,295.7463082092973
948000,295.22898101759046
949000,294.0585875734611
950000,297.02851668658604
951000,297.71086135854165
952000,295.37906830534615
953000,295.7835293987906
954000,297.2405073378655
955000,296.5793512818314
956000,297.02994859702903
957000,295.1073231517466
958000,296.8550090782815
959000,294.9400122648062
960000,295.69623216576804
961000,295.47625438139755
962000,295.63749424476543
963000,295.1008261662886
964000,295.80539083676433
965000,295.9338013252086
966000,296.3851805463735
967000,298.38501357191444
968000,295.9832939160491
969000,297.53954839982475
970000,297.66174141083786
971000,295.60494574047306
972000,295.0703548012284
973000,296.4141854895975
974000,298.50054485159
975000,298.0308907665008
976000,296.8324291723746
977000,297.45477822735637
978000,295.9826410566156
979000,297.7109655399831
980000,293.31417876713033
981000,296.7913067504111
982000,294.1992285552077
983000,296.319280440128
984000,294.8690005232853
985000,296.38794226907623
986000,296.3232405459922
987000,296.03956980143613
988000,295.81736537080053
989000,295.42020549332483
990000,294.9688438462964
991000,295.3885524398498
992000,295.3333531850815
993000,296.6485159499278
994000,294.20753183082377
995000,298.2534389754975
996000,297.0190764517078
997000,298.1008380262551
998000,296.82222375385766
999000,297.20472781651404
1000000,294.78404407575056
1001000,296.84571412387106
1002000,296.3867403199533
1003000,295.5647676119586
1004000,294.9191406758354
1005000,298.8287031282887
1006000,294.5009764667813
1007000,296.70850640832583
1008000,295.5010208400882
1009000,297.68329572505996
1010000,296.1072800471928
1011000,295.11587773236033
1012000,295.78640496185875
1013000,295.3421194470726
1014000,296.23487314365707
1015000,297.476901717175
1016000,295.2794665463539
1017000,297.67724951248044
1018000,296.09769048578545
1019000,295.1160688357974
1020000,295.62306253595943
1021000,295.92847749944957
1022000,297.9086724426346
1023000,296.4886835671603
1024000,295.4301205402911
1025000,292.8336137186821
1026000,297.350137871543
1027000,295.17457973378225
1028000,297.93514221110524
1029000,298.7113084422718
1030000,297.4122904674199
1031000,294.13707948612824
1032000,297.2010571195813
1033000,298.2015737602053
1034000,296.19251339051755
1035000,294.7962560754706
1036000,295.41518245525776
1037000,298.4940886545124
1038000,296.79401434610713
1039000,295.3311744900545
1040000,295.11890367975553
1041000,296.6498280796723
1042000,297.7423854735907
1043000,296.31923040763235
1044000,297.5752750562999
1045000,294.519633956593
1046000,294.00680961153483
1047000,295.55569581329905
1048000,298.60992601295584
1049000,296.4315008835202
1050000,296.30857478351476
1051000,296.0317379023434
1052000,296.83038215450654
1053000,294.55024052322113
1054000,297.2156558504985
1055000,296.4918020738619
1056000,297.24256804820305
1057000,295.4472510238994
1058000,296.51474138038
1059000,297.398965450818
1060000,296.7564318783566
1061000,295.8750751077394
1062000,297.6870961444715
1063000,296.92626198455497
1064000,294.97942683341404
1065000,295.941987735381
1066000,296.4463907607498
1067000,296.32017839198613
1068000,297.6349172646421
1069000,295.5207293627075
1070000,297.3688100495326
1071000,295.5184101807788
1072000,295.12331905507295
1073000,296.9232599758508
1074000,298.5807283050571
1075000,295.81350855011505
1076000,296.74004495256577
1077000,295.49193533491047
1078000,293.627868847608
1079000,292.5575445115364
1080000,297.2731562372082
1081000,294.79431471227184
1082000,296.74423208711784
1083000,294.0569552678912
1084000,293.8641665751318
1085000,297.8036839014384
1086000,295.75090167473394
1087000,295.74374133864444
1088000,298.2925272357544
1089000,294.8619061549091
1090000,295.8242137132418
1091000,297.85516744985296
1092000,296.0738334139389
1093000,294.44366010848466
1094000,297.52014063431943
1095000,296.58725695227713
1096000,296.91809840347486
1097000,295.14624601677235
1098000,298.22286529395257
1099000,295.8306685370843
1100000,294.20613997027505
1101000,296.46976953958074
1102000,296.8280607212912
1103000,295.91220543915904
1104000,297.7046951950718
1105000,296.4909487918564
1106000,297.79766378636424
1107000,296.7693859245387
1108000,295.01936681259554
1109000,295.91396723857
1110000,295.9295718953445
1111000,295.8267927118405
1112000,295.88379960846277
1113000,295.43373332839724
1114000,296.60008277137496
1115000,294.7117597898407
1116000,295.05744053176085
1117000,295.8802474949766
1118000,295.1185583706834
1119000,296.8429898577618
1120000,295.5945481411326
