#"Step","Temperature (K)"
701000,296.8387648733854
702000,294.82001401539486
703000,295.66728059228103
704000,297.4557151614599
705000,297.3825969530672
706000,297.2712356277998
707000,296.4024377528964
708000,293.3204671804629
709000,297.25649100231874
710000,297.767969688883
711000,295.1889912569379
712000,295.52645342253095
713000,296.29048009938845
714000,297.17117845940913
715000,297.53623454055565
716000,297.47819836699597
717000,298.08997964228814
718000,296.00118894182236
719000,296.29327644293136
720000,296.5304901671947
721000,295.89999698183146
722000,295.6470268763061
723000,296.8251742376696
724000,297.58247528582973
725000,297.97435212862814
726000,296.0841189164968
727000,293.6088213437465
728000,297.1259848237306
729000,294.8951932328149
730000,295.49244775943964
731000,296.78302086619095
732000,295.7737612952184
733000,296.1379202653411
734000,295.33506348016437
735000,295.1752253551923
736000,296.24363348455745
737000,297.12091530825745
738000,296.6834176967172
739000,295.09737802514223
740000,295.8017627703499
741000,297.5086083407199
742000,298.3722283891421
743000,296.3560765580016
744000,297.19080512284904
745000,297.17394094305286
746000,298.0046952613494
747000,295.43044238870635
748000,296.8718556691991
749000,296.41813566853915
750000,295.3935785306517
751000,296.6778661417056
752000,297.034118548658
753000,297.0208371422944
754000,297.4504035298105
755000,295.83208323495535
756000,297.2155275941656
757000,295.3994277668511
758000,296.00896398413687
759000,296.0711338123815
760000,295.8354974022658
761000,297.0565284183919
762000,294.8448988287322
763000,295.9119152747955
764000,295.44689462303563
765000,298.4190645776756
766000,297.35836474781377
767000,297.04990272302643
768000,296.0788824678245
769000,293.10433128710076
770000,296.27463805239256
771000,295.41379837011857
772000,297.7899729894904
773000,297.2204448951176
774000,296.70788295008344
775000,294.98190104136165
776000,294.31380726975095
777000,296.9634553405768
778000,296.8129928624045
779000,294.1592679302626
780000,294.2157503971683
781000,296.24266285389433
782000,296.2674703728785
783000,297.5542905998961
784000,296.57803025315263
785000,296.53043412573817
786000,295.9047829525292
787000,297.49570901151185
788000,299.1493174256742
789000,296.0338508517297
790000,297.17583879996215
791000,295.38875316923634
792000,295.7891109633964
793000,295.7209588825558
794000,295.0827616672377
795000,294.77806975551516
796000,296.48508374657706
797000,295.1974541407431
798000,297.44731335463115
799000,296.3177718095794
800000,296.8283035425992
801000,297.8308631323723
802000,295.4673074602529
803000,296.8236206026046
804000,295.9336313188192
805000,299.16626990956445
806000,297.45639783834076
807000,298.0114609205647
808000,296.41037446732315
809000,297.0942831049223
810000,297.0063623709875
811000,295.27505172959667
812000,297.7438925283412
813000,296.24612128097846
814000,296.02678021954176
815000,295.10790251502374
816000,296.83333028821886
817000,296.7406187388279
818000,294.9382370196412
819000,296.37141316833356
820000,296.24091284661796
821000,296.006897682637
822000,295.11380191070793
823000,295.0944591250305
824000,296.4581596662306
825000,297.75928898334945
826000,295.36603473372026
827000,295.95968022590597
828000,296.03835871933575
829000,295.94405569043994
830000,294.9313244436151
831000,296.0087707417527
832000,298.0880751873053
833000,295.16864205065025
834000,295.9850635611352
835000,297.5970942387247
836000,294.71407265725816
837000,296.9763233912516
838000,295.6863937347751
839000,296.72498015478317
840000,295.60568071786804
841000,297.64288379910136
842000,299.5277317661198
843000,296.5111602975079
844000,297.31311949930654
845000,296.226764835669
846000,297.1279567627991
847000,296.13570652099156
848000,295.6859932395434
849000,295.2082210617912
850000,296.61874214851366
851000,295.04804301319984
852000,295.4364396068148
853000,296.644272298045
854000,295.91082773916855
855000,296.20892731387687
856000,295.7219898539621
857000,294.25408732647395
858000,297.4761380633857
859000,295.4757971337374
860000,296.9818493444671
861000,296.34831053464916
862000,296.90351295406185
863000,297.79268669419776
864000,296.9112846966081
865000,296.50434380944466
866000,296.6237508990097
867000,296.842967617081
868000,297.26638348567207
869000,294.16870494681484
870000,295.8587333266878
871000,294.69523142038906
872000,296.06561244724037
873000,294.75302580458134
874000,297.554065027694
875000,294.81829865360623
876000,296.2060253438716
877000,295.28628744445894
878000,298.4105015251744
879000,295.01830401314396
880000,295.95873385406435
881000,296.40350456631353
882000,295.8437370014718
883000,297.4304014211595
884000,295.9252486316908
885000,297.13082608324584
886000,297.5116594752655
887000,296.6939223831197
888000,296.92549696313756
889000,294.95761324299986
890000,296.3300519711528
891000,297.49367232053976
892000,294.59160674692316
893000,297.12682263209734
894000,294.8927862831654
895000,295.98790037308873
896000,296.9891944373414
897000,294.9413658497838
898000,296.71444263646833
899000,297.12477706235035
900000,294.40741408321026
901000,296.4627130543624
902000,295.5680795750322
903000,298.2701465411535
